county_name,state_name,total_acres,avg_acres_per_decade,num_decades,urbanization_rate,scenario,scenario_description,spatial_level,time_period,generated_date
Bullitt County,Kentucky,180170.2,9008.51,5,36034.04,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Barron County,Wisconsin,180146.16,9007.31,5,36029.23,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Ouachita County,Arkansas,180045.87,9002.29,5,36009.17,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
James City County,Virginia,179716.62,8985.83,5,35943.32,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Wise County,Texas,179625.85,7185.03,5,35925.17,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Putnam County,West Virginia,179522.97,8976.15,5,35904.59,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Lincoln County,Colorado,179515.75,8975.79,5,35903.15,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Jefferson County,Illinois,179495.21,8974.76,5,35899.04,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Union County,Oregon,179486.67,7179.47,5,35897.33,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Catoosa County,Georgia,179406.09,8970.3,5,35881.22,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Bingham County,Idaho,179388.87,7175.55,5,35877.77,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Douglas County,Kansas,179273.66,7170.95,5,35854.73,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Greene County,Arkansas,179237.2,8961.86,5,35847.44,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Harris County,Georgia,179140.95,11942.73,5,35828.19,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Vermilion County,Illinois,178930.8,8946.54,5,35786.16,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Livingston County,New York,178862.18,8943.11,5,35772.44,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Pike County,Kentucky,178722.18,11914.81,5,35744.44,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Yuba County,California,178548.15,7141.93,5,35709.63,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Vilas County,Wisconsin,178538.25,8926.91,5,35707.65,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Grant County,Indiana,178236.58,8911.83,5,35647.32,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Erath County,Texas,178193.94,7127.76,5,35638.79,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Dorchester County,Maryland,177970.57,8898.53,5,35594.11,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Cherokee County,Alabama,177742.54,8887.13,5,35548.51,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Mecosta County,Michigan,177547.0,8877.35,5,35509.4,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Clark County,Wisconsin,177263.62,8863.18,5,35452.72,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Upson County,Georgia,176740.16,8837.01,5,35348.03,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Taney County,Missouri,176425.24,7057.01,5,35285.05,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Miller County,Arkansas,176388.56,7055.54,5,35277.71,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Oktibbeha County,Mississippi,176261.73,8813.09,5,35252.35,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Baldwin County,Georgia,175984.42,8799.22,5,35196.88,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Burleigh County,North Dakota,175841.48,7033.66,5,35168.3,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Ozaukee County,Wisconsin,175715.1,8785.76,5,35143.02,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Gulf County,Florida,175462.91,8773.15,5,35092.58,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Tooele County,Utah,175344.94,7013.8,5,35068.99,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
San Augustine County,Texas,175252.04,8762.6,5,35050.41,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Gibson County,Tennessee,174992.13,8749.61,5,34998.43,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Coffee County,Alabama,174920.3,8746.01,5,34984.06,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Gillespie County,Texas,174839.71,6993.59,5,34967.94,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Cooke County,Texas,174791.17,6991.65,5,34958.23,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Cole County,Missouri,174649.96,8732.5,5,34929.99,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Waushara County,Wisconsin,174547.96,8727.4,5,34909.59,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Camden County,Georgia,174335.62,11622.37,5,34867.12,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Crawford County,Arkansas,173912.9,8695.65,5,34782.58,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Fairfield County,South Carolina,173834.55,8691.73,5,34766.91,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Cleburne County,Arkansas,173583.98,11572.27,5,34716.8,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Blue Earth County,Minnesota,173551.28,8677.56,5,34710.26,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Belmont County,Ohio,173492.21,8674.61,5,34698.44,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Carroll County,Virginia,173345.42,8667.27,5,34669.08,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Lincoln County,Missouri,173267.56,8663.38,5,34653.51,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
Christian County,Missouri,173254.42,8662.72,5,34650.88,ensemble_overall,Ensemble Projection (Average of All Scenarios),County,All Periods,2025-06-02 08:24:37
